date,convenience_store,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor,item,description,pack,liter_size,state_btl_cost,btl_price,bottle_qty,total
12/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,1750,7.94,12.51,6,75.06
21/10/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,1750,9.14,13.71,12,164.52
01/07/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,1750,9.14,13.71,6,82.26
12/02/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,1750,9.14,13.71,6,82.26
08/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12478,Canadian Mist Canadian Why Pet,6,1750,10.5,15.75,6,94.5
16/04/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12478,Canadian Mist Canadian Why Pet,6,1750,10.5,15.75,6,94.5
18/06/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12478,Canadian Mist Canadian Why Pet,6,1750,10.5,15.75,6,94.5
09/04/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12478,Canadian Mist Canadian Why Pet,6,1750,10.5,15.75,6,94.5
22/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12478,Canadian Mist Canadian Why Pet,6,1750,10.5,15.75,6,94.5
08/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,421,Sazerac Co. Inc.,12856,Rich & Rare Reserve,6,750,6.5,9.75,6,58.5
18/06/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,421,Sazerac Co. Inc.,12856,Rich & Rare Reserve,6,750,6.5,9.75,30,292.5
28/01/2015,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,434,Luxco-St Louis,13038,Canadian Reserve Whisky,6,1750,9,13.5,6,81
02/04/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,434,Luxco-St Louis,13038,Canadian Reserve Whisky,6,1750,9,13.5,30,405
16/04/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,380,Phillips Beverage Company,14473,Revel Stoke Roasted Pecan Mini,6,500,4.89,7.34,1,7.34
04/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,15248,Windsor Canadian Pet,6,1750,8.92,13.38,6,80.28
15/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,15248,Windsor Canadian Pet,6,1750,8.92,13.38,3,40.14
06/08/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1011200,STRAIGHT BOURBON WHISKIES,421,Sazerac Co. Inc.,16518,Ancient Age Bourbon,6,1750,11.8,17.7,6,106.2
22/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1011200,STRAIGHT BOURBON WHISKIES,421,Sazerac Co. Inc.,16518,Ancient Age Bourbon,6,1750,11.8,17.7,6,106.2
12/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1011200,STRAIGHT BOURBON WHISKIES,421,Sazerac Co. Inc.,16850,Blanton's Bourbon,6,750,28.08,42.12,2,84.24
23/07/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1011200,STRAIGHT BOURBON WHISKIES,125,Cedar Ridge VineyardsLLC,17206,Cedar Ridge Bourbon,6,750,17.6,26.4,1,26.4
07/01/2015,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1011200,STRAIGHT BOURBON WHISKIES,85,Brown-Forman Corporation,17830,Early Times 36 Mo Ky Str Bourbon Pet,6,1750,12.31,18.47,6,110.82
07/05/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1011200,STRAIGHT BOURBON WHISKIES,85,Brown-Forman Corporation,17830,Early Times 36 Mo Ky Str Bourbon Pet,6,1750,12.31,18.47,6,110.82
